original_idx,chunk_idx,command,chunk_text
0,0,abilint,nan
1,0,ac,"ac
prints out a report of connect time (in hours) based on the loâ
       gins/logouts  in  the  current
wtmp
file. A total is also printed
       out. The accounting file
wtmp
is maintained by
init
(8)  and
login(1)
."
1,1,ac,"The accounting file
wtmp
is maintained by
init
(8)  and
login(1)
. Neither
ac
nor
login
creates the
wtmp
if it doesn't exist, no acâ
       counting is done. To begin accounting, create  the  file  with  a
       length of zero."
1,2,ac,"To begin accounting, create  the  file  with  a
       length of zero. NOTE:   The
wtmp
file can get really big, really fast. You might
       want to trim it every once and a while."
1,3,ac,"You might
       want to trim it every once and a while. GNU
ac
works nearly the same UNIX
ac
, though it's a little smarter
       in several ways. You should therefore expect differences  in  the
       output of GNU
ac
and the output of
ac
's on other systems."
1,4,ac,"GNU
ac
works nearly the same UNIX
ac
, though it's a little smarter
       in several ways. You should therefore expect differences  in  the
       output of GNU
ac
and the output of
ac
's on other systems. Use the
       command
info
accounting
to get additional information."
2,0,abidb,nan
3,0,abicompat,nan
4,0,abipkgdiff,nan
5,0,Linux man pages online,nan
6,0,abidw,nan
7,0,Linux man pages online,nan
8,0,abidiff,nan
9,0,addftinfo,nan
10,0,addr2line,"addr2line
translates addresses or symbol+offset into file names
       and line numbers. Given an address or symbol+offset in an
       executable or an offset in a section of a relocatable object, it
       uses the debugging information to figure out which file name and
       line number are associated with it. The executable or relocatable object to use is specified with the
-e
option."
10,1,addr2line,"The executable or relocatable object to use is specified with the
-e
option. The default is the file
a.out
. The section in the
       relocatable object to use is specified with the
-j
option."
10,2,addr2line,"The section in the
       relocatable object to use is specified with the
-j
option. addr2line
has two modes of operation. In the first, hexadecimal addresses or symbol+offset are specified
       on the command line, and
addr2line
displays the file name and line
       number for each address."
10,3,addr2line,"In the first, hexadecimal addresses or symbol+offset are specified
       on the command line, and
addr2line
displays the file name and line
       number for each address. In the second,
addr2line
reads hexadecimal addresses or
       symbol+offset from standard input, and prints the file name and
       line number for each address on standard output. In this mode,
addr2line
may be used in a pipe to convert dynamically chosen
       addresses."
10,4,addr2line,"In this mode,
addr2line
may be used in a pipe to convert dynamically chosen
       addresses. The format of the output is
FILENAME:LINENO
. By default each
       input address generates one line of output."
